NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_GENERO,DT_NASCIMENTO,DS_COR_RACA,DS_GRAU_INSTRUCAO,DS_OCUPACAO,DS_SIT_TOT_TURNO,DS_SITUACAO_CANDIDATURA,ANO
2822,ROGERIO STRACIALANO PARADA,ROGERIO PARADA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,04/06/1966,BRANCA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
2855,RENATO DO NASCIMENTO,CORINGA REAÇA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,13/06/1979,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO,COMERCIANTE,NÃO ELEITO,APTO,2022
2870,RENATO KOGA CERQUEIRA,DR. RENATO KOGA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,31/03/1975,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2022
2865,MARIA AUXILIADORA DE SOUSA,DRA LIA SOUSA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,16/10/1959,PARDA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
2899,LEILSON CASTRO DOS SANTOS,LEILSON CASTRO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,27/04/1977,PARDA,SUPERIOR COMPLETO,COMERCIANTE,NÃO ELEITO,APTO,2022
2879,LUIZ EDUARDO DAMASCENO,SARGENTO DAMASCENO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,02/12/1958,BRANCA,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),NÃO ELEITO,APTO,2022
2722,ROBERTO ALVES DOS SANTOS,CORONEL ROBERTO ALVES,DC,DEMOCRACIA CRISTÃ,MASCULINO,23/11/1961,PARDA,SUPERIOR COMPLETO,POLICIAL MILITAR,NÃO ELEITO,INAPTO,2022
2832,MARA LUCIA GARCIA,MARA GARCIA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,11/04/1974,BRANCA,SUPERIOR COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",NÃO ELEITO,INAPTO,2022
1577,JORGE LUIS LEPINSK,PEPO LEPINSK,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,25/09/1970,PRETA,SUPERIOR INCOMPLETO,VEREADOR,NÃO ELEITO,INAPTO,2022
9057,ALESSANDRO SOUSA DA SILVA,SANDRO DO PROS,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,25/12/1973,BRANCA,ENSINO MÉDIO COMPLETO,COMERCIANTE,NÃO ELEITO,INAPTO,2022
5161,EDISON DE OLIVEIRA,EDISON FURMIGA,PATRIOTA,PATRIOTA,MASCULINO,02/10/1967,PARDA,ENSINO MÉDIO COMPLETO,OUTROS,NÃO ELEITO,INAPTO,2022
3006,CAIO BIANCHI BECHARA,CAIO BIANCHI,NOVO,PARTIDO NOVO,MASCULINO,05/04/1996,BRANCA,SUPERIOR INCOMPLETO,PROGRAMADOR DE COMPUTADOR,NÃO ELEITO,INAPTO,2022
4044,FELIPE GUIMARÃES DE ARAÚJO COSTA,FELIPE SOROCABA,PSB,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,30/04/1976,BRANCA,SUPERIOR INCOMPLETO,ADMINISTRADOR,#NULO,INAPTO,2022
4057,RODRIGO ALMEIDA PASSOS,RODRIGO AP,PSB,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,23/03/1982,BRANCA,SUPERIOR COMPLETO,POLICIAL MILITAR,#NULO,INAPTO,2022
2757,CESAR FERREIRA LONGARES,VETERANO LONGARES,DC,DEMOCRACIA CRISTÃ,MASCULINO,23/03/1974,PARDA,ENSINO MÉDIO COMPLETO,ELETRICISTA E ASSEMELHADOS,#NULO,INAPTO,2022
2853,SIDNEY JOTA CARNEIRO,SIDNEY CARNEIRO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,22/10/1959,PARDA,SUPERIOR COMPLETO,OUTROS,#NULO,INAPTO,2022
2803,ABRAÃO GONÇALVES,PASTOR ABRAAO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,13/06/1962,BRANCA,SUPERIOR COMPLETO,EMPRESÁRIO,#NULO,INAPTO,2022
3684,DAYANE ANDRADE DA SILVA,DAYANE ANDRADE,AGIR,AGIR,FEMININO,10/01/1991,PRETA,SUPERIOR COMPLETO,EMPRESÁRIO,#NULO,INAPTO,2022
9083,MARIA JOSÉ CUNHA,MARIA JOSÉ CUNHA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,16/02/1959,BRANCA,ENSINO MÉDIO COMPLETO,TAXISTA,#NULO,INAPTO,2022
1419,LUCIO DIAS DE OLIVEIRA,LUCIO DIAS,PTB,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,02/12/1972,BRANCA,SUPERIOR COMPLETO,OUTROS,#NULO,INAPTO,2022
4501,RICHARD PORTO DE ROSA,RICHARD DE ROSA,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,14/01/1984,BRANCA,SUPERIOR COMPLETO,JORNALISTA E REDATOR,#NULO,INAPTO,2022
1927,ROSA ENEIDE DOS SANTOS ABLAS,DRA. ROSA ABLAS,PODE,PODEMOS,FEMININO,16/10/1972,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
1920,DANIEL JOSÉ DA SILVA OLIVEIRA,DANIEL JOSÉ,PODE,PODEMOS,MASCULINO,14/02/1988,BRANCA,SUPERIOR COMPLETO,DEPUTADO,SUPLENTE,APTO,2022
2241,JOSÉ OLIMPIO SILVEIRA MORAES,MISSIONÁRIO JOSÉ OLÍMPIO,PL,PARTIDO LIBERAL,MASCULINO,11/12/1956,BRANCA,SUPERIOR COMPLETO,VEREADOR,SUPLENTE,APTO,2022
2278,DAVID ABMAEL DAVID,DELEGADO DAVI,PL,PARTIDO LIBERAL,MASCULINO,07/07/1968,BRANCA,SUPERIOR COMPLETO,OUTROS,SUPLENTE,APTO,2022
2221,VANESSA FERREIRA GOMES,VANESSA GOMES,PL,PARTIDO LIBERAL,FEMININO,15/11/1988,BRANCA,ENSINO MÉDIO COMPLETO,DONA DE CASA,SUPLENTE,APTO,2022
1987,GUILHERME CAMPO DALL ORTO LEITE DO AMARAL,GUILHERME DALL ORTO,PODE,PODEMOS,MASCULINO,02/10/1977,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
2226,FERNANDO LISBOA DA CONCEIÇÃO,LISBOA,PL,PARTIDO LIBERAL,MASCULINO,12/10/1982,PARDA,SUPERIOR INCOMPLETO,OUTROS,SUPLENTE,APTO,2022
2222,EDUARDO NANTES BOLSONARO,EDUARDO BOLSONARO,PL,PARTIDO LIBERAL,MASCULINO,10/07/1984,BRANCA,SUPERIOR COMPLETO,DEPUTADO,ELEITO POR QP,APTO,2022
2211,ANTONIO CARLOS RODRIGUES,ANTONIO CARLOS RODRIGUES,PL,PARTIDO LIBERAL,MASCULINO,17/05/1950,BRANCA,SUPERIOR COMPLETO,ADVOGADO,ELEITO POR QP,APTO,2022
1976,ILDA MARA REIS,ILDA REIS,PODE,PODEMOS,FEMININO,11/08/1972,PARDA,ENSINO MÉDIO COMPLETO,FAXINEIRO,SUPLENTE,APTO,2022
1918,ANA ALICE FERNANDES DE ALMEIDA,PROFESSORA ANA ALICE,PODE,PODEMOS,FEMININO,25/10/1983,PARDA,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,SUPLENTE,APTO,2022
1916,MARCOS ANDRÉ PAPA,MARCOS PAPA,PODE,PODEMOS,MASCULINO,29/01/1966,PARDA,SUPERIOR COMPLETO,VEREADOR,SUPLENTE,APTO,2022
1949,FLAVIA CAMARGO DA SILVA,FLAVIA CAMARGO,PODE,PODEMOS,FEMININO,18/07/1957,PARDA,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,SUPLENTE,APTO,2022
4040,TABATA CLAUDIA AMARAL DE PONTES,TABATA AMARAL,PSB,PARTIDO SOCIALISTA BRASILEIRO,FEMININO,14/11/1993,BRANCA,SUPERIOR COMPLETO,DEPUTADO,ELEITO POR QP,APTO,2022
4088,AMILTON AUGUSTO DA SILVA JUNIOR,DR AMILTON,PSB,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,14/09/1982,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
4014,DANIELA CURIATI NUCCI,DANIELA CURIATI,PSB,PARTIDO SOCIALISTA BRASILEIRO,FEMININO,10/05/1976,BRANCA,SUPERIOR COMPLETO,ODONTÓLOGO,SUPLENTE,APTO,2022
4010,HILARIO JULIANO RUIZ DE OLIVEIRA,HILARIO RUIZ,PSB,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,05/10/1966,BRANCA,SUPERIOR COMPLETO,BANCÁRIO E ECONOMIÁRIO,SUPLENTE,APTO,2022
