NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,ANO
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61000,EUCLIDES DA CUNHA PAULISTA,ELEITO POR QP,13,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61018,ADAMANTINA,ELEITO POR QP,155,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61026,BOREBI,ELEITO POR QP,13,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61034,ADOLFO,ELEITO POR QP,35,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61042,TARUMÃ,ELEITO POR QP,81,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61050,AGUAÍ,ELEITO POR QP,757,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61069,MOTUCA,ELEITO POR QP,37,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61077,ÁGUAS DA PRATA,ELEITO POR QP,84,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61085,IARAS,ELEITO POR QP,46,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61093,ÁGUAS DE LINDÓIA,ELEITO POR QP,253,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61107,GUATAPARÁ,ELEITO POR QP,52,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61115,ÁGUAS DE SÃO PEDRO,ELEITO POR QP,40,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61123,DIRCE REIS,ELEITO POR QP,3,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61131,AGUDOS,ELEITO POR QP,332,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61140,ESPÍRITO SANTO DO TURVO,ELEITO POR QP,27,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61158,ALFREDO MARCONDES,ELEITO POR QP,9,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61166,ROSANA,ELEITO POR QP,155,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61174,ALTAIR,ELEITO POR QP,58,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61182,EMBAÚBA,ELEITO POR QP,12,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61190,ALTINÓPOLIS,ELEITO POR QP,73,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61204,ILHA SOLTEIRA,ELEITO POR QP,193,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61212,ALTO ALEGRE,ELEITO POR QP,28,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61220,ALUMÍNIO,ELEITO POR QP,172,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61239,ÁLVARES FLORENCE,ELEITO POR QP,32,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61247,PEDRINHAS PAULISTA,ELEITO POR QP,4,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61255,ÁLVARES MACHADO,ELEITO POR QP,129,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61263,ARAÇARIGUAMA,ELEITO POR QP,317,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61271,ÁLVARO DE CARVALHO,ELEITO POR QP,13,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61280,BERTIOGA,ELEITO POR QP,526,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61298,ALVINLÂNDIA,ELEITO POR QP,45,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61301,SUZANÁPOLIS,ELEITO POR QP,21,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61310,AMERICANA,ELEITO POR QP,1233,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61328,SANTO ANTÔNIO DO ARACANGUÁ,ELEITO POR QP,22,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61336,AMÉRICO BRASILIENSE,ELEITO POR QP,295,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61344,CANITAR,ELEITO POR QP,21,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61352,AMÉRICO DE CAMPOS,ELEITO POR QP,24,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61360,BARRA DO CHAPÉU,ELEITO POR QP,20,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61379,AMPARO,ELEITO POR QP,1548,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61387,EMILIANÓPOLIS,ELEITO POR QP,17,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61395,ANALÂNDIA,ELEITO POR QP,61,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61409,NOVAIS,ELEITO POR QP,17,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61417,ANDRADINA,ELEITO POR QP,340,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61425,NOVA CANAÃ PAULISTA,ELEITO POR QP,5,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61433,ANGATUBA,ELEITO POR QP,170,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61441,SALTINHO,ELEITO POR QP,103,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61450,ANHEMBI,ELEITO POR QP,34,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61468,UBARANA,ELEITO POR QP,56,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61476,ANHUMAS,ELEITO POR QP,23,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61484,CAJATI,ELEITO POR QP,188,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61492,APARECIDA,ELEITO POR QP,467,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61506,CAMPINA DO MONTE ALEGRE,ELEITO POR QP,38,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61514,APARECIDA D OESTE,ELEITO POR QP,21,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61522,ASPÁSIA,ELEITO POR QP,19,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61530,APIAÍ,ELEITO POR QP,218,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61549,VARGEM,ELEITO POR QP,174,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61557,ARAÇATUBA,ELEITO POR QP,1328,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61565,POTIM,ELEITO POR QP,195,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61573,ARAÇOIABA DA SERRA,ELEITO POR QP,308,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61581,ALAMBARI,ELEITO POR QP,46,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61590,ARAMINA,ELEITO POR QP,14,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61603,ITAOCA,ELEITO POR QP,16,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61611,ARANDU,ELEITO POR QP,96,2018
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,61620,TUIUTI,ELEITO POR QP,103,2018
