NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,ANO
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,ELEITO POR QP,521728,2018
1001,EDSON FRANCISCO DE SANTANA,PRB,SUPLENTE,4911,2018
1002,ELIANA SABÁ,PRB,SUPLENTE,391,2018
1003,EDILUZA MARIA DA SILVA DOS SANTOS,PRB,SUPLENTE,753,2018
1004,AFFONSO SALATI FILHO,PRB,SUPLENTE,2623,2018
1005,VICTOR AUGUSTO VILANUEVA GOMES,PRB,SUPLENTE,254,2018
1006,MICHEL DE LIMA CHAUSSE,PRB,SUPLENTE,1778,2018
1007,WANDEMBERG MARQUES DA SILVA,PRB,SUPLENTE,2001,2018
1008,EDSON COQUEIRO FILHO,PRB,SUPLENTE,2606,2018
1009,VAGNER CLEBER CHIAPETTI,PRB,SUPLENTE,12409,2018
1010,MARCOS ANTONIO PEREIRA,PRB,ELEITO POR QP,139165,2018
1011,ALEXANDRE ARAUJO DAUAGE,PRB,SUPLENTE,11022,2018
1012,ALEX FERNANDO BRAGA,PRB,SUPLENTE,5075,2018
1013,ADAO DIVINO DO NASCIMENTO,PRB,SUPLENTE,1757,2018
1014,ALEXANDRO DE ARAUJO,PRB,SUPLENTE,15052,2018
1015,RITA DE CÁSSIA SANTANA ALBANEZ,PRB,SUPLENTE,5847,2018
1016,WANDERLEY AYRES JUNIOR,PRB,SUPLENTE,435,2018
1017,CAROLINE GROOT,PRB,SUPLENTE,1125,2018
1018,MARIA NASARÉ DA GUIA AZEVEDO,PRB,SUPLENTE,3132,2018
1019,LEANDRO MOREIRA,PRB,SUPLENTE,7484,2018
1020,ANGELA MÁRCIA FIRMO BAVINI,PRB,SUPLENTE,4392,2018
1021,LUIZ CARLOS DONEGA NETO,PRB,SUPLENTE,5282,2018
1022,MARIA DO PARTO MENDES ROSAS,PRB,ELEITO POR MÉDIA,71745,2018
1023,HENRIQUE STEIN SCIASCIO,PRB,SUPLENTE,54113,2018
1024,GILMARA NASCIMENTO DA SILVA,PRB,SUPLENTE,1885,2018
1025,LUCILENA RIBEIRO DA SILVA,PRB,SUPLENTE,645,2018
1026,JEFFERSON MARIO AMARAL,PRB,SUPLENTE,2374,2018
1027,CAMILA GRASIELE SANGREGORIO SOARES,PRB,SUPLENTE,2213,2018
1028,ANA KARIN DIAS DE ALMEIDA ANDRADE,PRB,SUPLENTE,1319,2018
1029,NILO SERGIO MACHADO,PRB,SUPLENTE,117,2018
1030,ALCIDES BELUCI NETO,PRB,SUPLENTE,7664,2018
1031,RENE ROSA,PRB,SUPLENTE,954,2018
1032,ABEL DO PORTO SANTOS,PRB,SUPLENTE,4231,2018
1033,SHAKESPEARE VIANA CARVALHO,PRB,SUPLENTE,23666,2018
