NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_ORIGEM_DESPESA,VR_TOTAL,ANO
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Alimentação,63277.79,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Cessão ou locação de veículos,58172.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Combustíveis e lubrificantes,59811.46,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Correspondências e despesas postais,2687.55,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Criação e inclusão de páginas na internet,20040.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Despesa com Impulsionamento de Conteúdos,22500.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Despesas com Hospedagem,23021.5,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Despesas com pessoal,1095220.9,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Despesas com transporte ou deslocamento,4518.29,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",4561.04,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Locação/cessão de bens imóveis,19000.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Locação/cessão de bens móveis (exceto veículos),11758.05,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Materiais de expediente,8844.279999999999,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,"Produção de jingles, vinhetas e slogans",2500.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,"Produção de programas de rádio, televisão ou vídeo",80000.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Publicidade por adesivos,47000.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Publicidade por jornais e revistas,24560.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Publicidade por materiais impressos,478525.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Serviços prestados por terceiros,77137.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Telefone,223.1,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Combustíveis e lubrificantes,2270.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Despesa com Impulsionamento de Conteúdos,500.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Despesas com pessoal,148084.97,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Despesas com transporte ou deslocamento,250.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",371.74,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Locação/cessão de bens imóveis,13500.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,"Produção de jingles, vinhetas e slogans",1860.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Publicidade por carros de som,3900.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Publicidade por materiais impressos,37031.79,2018
1002,ELIANA SABÁ,PRB,Alimentação,1407.3700000000001,2018
1002,ELIANA SABÁ,PRB,Combustíveis e lubrificantes,1719.28,2018
1002,ELIANA SABÁ,PRB,Correspondências e despesas postais,35.2,2018
1002,ELIANA SABÁ,PRB,Criação e inclusão de páginas na internet,16316.16,2018
1002,ELIANA SABÁ,PRB,Despesas com Hospedagem,278.25,2018
1002,ELIANA SABÁ,PRB,Despesas com pessoal,23408.48,2018
1002,ELIANA SABÁ,PRB,Despesas com transporte ou deslocamento,575.1999999999999,2018
1002,ELIANA SABÁ,PRB,Diversas a especificar,17.05,2018
1002,ELIANA SABÁ,PRB,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",58.35,2018
