NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_GENERO,DT_NASCIMENTO,DS_COR_RACA,DS_GRAU_INSTRUCAO,DS_OCUPACAO,DS_SIT_TOT_TURNO,DS_SITUACAO_CANDIDATURA,ANO
1600,CLAUDIO DONIZETE DOS REIS,CLÁUDIO DONIZETE,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,MASCULINO,24/08/1973,PRETA,SUPERIOR INCOMPLETO,OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL,NÃO ELEITO,APTO,2018
7090,PAULO SÉRGIO OLIVEIRA,PAULO PROERD,AVANTE,AVANTE,MASCULINO,22/04/1968,BRANCA,SUPERIOR INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),NÃO ELEITO,APTO,2018
5552,LUCILA DE ARAÚJO RODRIGUES CALDAS,LUCILA CALDAS,PSD,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,08/07/1948,BRANCA,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),SUPLENTE,APTO,2018
1525,ARIADINE FERREIRA ESPINDOLA,ARIADNE FERREIRA ESPÍNDOLA,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,15/12/1951,BRANCA,ENSINO FUNDAMENTAL COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),SUPLENTE,APTO,2018
5409,IDIVANIR DE MOURA MESQUITA,DUDA MESQUITA,PPL,PARTIDO PÁTRIA LIVRE,FEMININO,26/11/1952,PRETA,ENSINO FUNDAMENTAL COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),NÃO ELEITO,APTO,2018
2705,LILIAN RODRIGUES MENDES,LILIAN RODRIGUES,DC,DEMOCRACIA CRISTÃ,FEMININO,31/05/1983,PARDA,ENSINO MÉDIO COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",NÃO ELEITO,APTO,2018
1908,ANA CAROLINA DIAS RAMOS,ANA CAROLINA DIAS,PODE,PODEMOS,FEMININO,02/06/1975,BRANCA,SUPERIOR COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",SUPLENTE,APTO,2018
5450,ARTUR BUENO DE CAMARGO,ARTHUR BUENO,PPL,PARTIDO PÁTRIA LIVRE,MASCULINO,23/12/1949,BRANCA,ENSINO MÉDIO COMPLETO,OUTROS,NÃO ELEITO,APTO,2018
1056,VLADIMIR RYUJI TANAKA,VLADIMIR TANAKA,PRB,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,19/11/1956,AMARELA,SUPERIOR COMPLETO,OUTROS,SUPLENTE,APTO,2018
3644,RONIVALDO REIS DA COSTA,RONI REIS,PTC,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,04/09/1973,PARDA,ENSINO MÉDIO COMPLETO,OUTROS,NÃO ELEITO,APTO,2018
9027,FABIO GOMES SOUTO,FABIO SOUTO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,09/07/1975,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2018
3652,WILLIANS ROCHA MONTEIRO,WILLIANS ROCHA - ZE BONITINHO,PTC,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,18/01/1973,PARDA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2018
5137,LUIZ FERNANDO FILIPPI SAMBIASE,SAMBIASE,PATRIOTA,PATRIOTA,MASCULINO,18/11/1937,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2018
5511,EDSON BATISTA DA SILVA,EDSON SILVA,PSD,PARTIDO SOCIAL DEMOCRÁTICO,MASCULINO,15/12/1962,PARDA,ENSINO MÉDIO COMPLETO,OUTROS,SUPLENTE,APTO,2018
2512,SERGIO ZULMIRO LITHOLDO,LITHOLDO,DEM,DEMOCRATAS,MASCULINO,04/08/1950,BRANCA,ENSINO MÉDIO COMPLETO,OUTROS,SUPLENTE,APTO,2018
9040,ALFREDO SOARES DE MOURA,ALFREDO MOURA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,26/02/1958,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2018
