CD_MUNICIPIO,NM_MUNICIPIO,QT_VOTOS_NOMINAIS,ANO
61000,EUCLIDES DA CUNHA PAULISTA,4430,2022
61018,ADAMANTINA,17710,2022
61026,BOREBI,1565,2022
61034,ADOLFO,2880,2022
61042,TARUMÃ,8284,2022
61050,AGUAÍ,14592,2022
61069,MOTUCA,2422,2022
61077,ÁGUAS DA PRATA,4158,2022
61085,IARAS,2754,2022
61093,ÁGUAS DE LINDÓIA,9848,2022
61107,GUATAPARÁ,3911,2022
61115,ÁGUAS DE SÃO PEDRO,2880,2022
61123,DIRCE REIS,1187,2022
61131,AGUDOS,20013,2022
61140,ESPÍRITO SANTO DO TURVO,2310,2022
61158,ALFREDO MARCONDES,2792,2022
61166,ROSANA,9010,2022
61174,ALTAIR,2126,2022
61182,EMBAÚBA,1739,2022
61190,ALTINÓPOLIS,8171,2022
61204,ILHA SOLTEIRA,13080,2022
61212,ALTO ALEGRE,2448,2022
61220,ALUMÍNIO,9752,2022
61239,ÁLVARES FLORENCE,2497,2022
61247,PEDRINHAS PAULISTA,2045,2022
61255,ÁLVARES MACHADO,12806,2022
61263,ARAÇARIGUAMA,11014,2022
61271,ÁLVARO DE CARVALHO,1895,2022
61280,BERTIOGA,31817,2022
61298,ALVINLÂNDIA,1843,2022
61301,SUZANÁPOLIS,1994,2022
61310,AMERICANA,125346,2022
61328,SANTO ANTÔNIO DO ARACANGUÁ,5215,2022
61336,AMÉRICO BRASILIENSE,18216,2022
61344,CANITAR,2672,2022
61352,AMÉRICO DE CAMPOS,3538,2022
61360,BARRA DO CHAPÉU,3272,2022
61379,AMPARO,36033,2022
61387,EMILIANÓPOLIS,1857,2022
61395,ANALÂNDIA,2778,2022
61409,NOVAIS,2582,2022
61417,ANDRADINA,29195,2022
61425,NOVA CANAÃ PAULISTA,1299,2022
61433,ANGATUBA,12238,2022
61441,SALTINHO,5050,2022
61450,ANHEMBI,3605,2022
61468,UBARANA,3035,2022
61476,ANHUMAS,2407,2022
61484,CAJATI,14996,2022
61492,APARECIDA,19949,2022
61506,CAMPINA DO MONTE ALEGRE,3526,2022
61514,APARECIDA D OESTE,2669,2022
61522,ASPÁSIA,1340,2022
61530,APIAÍ,12560,2022
61549,VARGEM,3978,2022
61557,ARAÇATUBA,105579,2022
61565,POTIM,9113,2022
61573,ARAÇOIABA DA SERRA,17226,2022
61581,ALAMBARI,3596,2022
61590,ARAMINA,3047,2022
61603,ITAOCA,2000,2022
61611,ARANDU,3778,2022
61620,TUIUTI,3562,2022
61638,ARARAQUARA,111854,2022
61646,ARAPEÍ,1699,2022
61654,ARARAS,66415,2022
61662,ESTIVA GERBI,6769,2022
61670,AREALVA,4102,2022
61689,ENGENHEIRO COELHO,10138,2022
61697,AREIAS,2393,2022
61700,RIBEIRÃO GRANDE,4560,2022
61719,AREIÓPOLIS,5558,2022
61727,HORTOLÂNDIA,112002,2022
61735,ARIRANHA,4532,2022
61743,HOLAMBRA,8794,2022
61751,ARTUR NOGUEIRA,26248,2022
61760,ELISIÁRIO,1897,2022
61778,ARUJÁ,47537,2022
61786,BOM SUCESSO DE ITARARÉ,2362,2022
61794,ASSIS,47481,2022
61808,PONTALINDA,2113,2022
61816,ATIBAIA,78606,2022
61824,PARISI,1955,2022
61832,AURIFLAMA,7777,2022
61840,TAQUARIVAÍ,3389,2022
61859,AVAÍ,2788,2022
61867,MARAPOAMA,1920,2022
61875,AVANHANDAVA,5137,2022
61883,SÃO JOÃO DE IRACEMA,1237,2022
61891,AVARÉ,42119,2022
61905,SÃO LOURENÇO DA SERRA,7828,2022
61913,BADY BASSITT,9915,2022
61921,ZACARIAS,1677,2022
61930,BALBINOS,959,2022
61948,ITAPIRAPUÃ PAULISTA,2188,2022
