NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_ORIGEM_RECEITA,DS_FONTE_RECEITA,VR_TOTAL,ANO
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Recursos de outros candidatos,FUNDO PARTIDARIO,87107.85,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Recursos de partido político,FUNDO ESPECIAL,2028000.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Recursos de pessoas físicas,OUTROS RECURSOS,14925.0,2018
1000,CELSO UBIRAJARA RUSSOMANO,PRB,Recursos próprios,OUTROS RECURSOS,27500.989999999998,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Doações pela Internet,OUTROS RECURSOS,43.5,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Recursos de partido político,FUNDO ESPECIAL,50000.0,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Recursos de partido político,FUNDO PARTIDARIO,102053.55,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Recursos de partido político,OUTROS RECURSOS,1814.7,2018
1001,ESON FRANCISCO DE SANTANA,PRB,Recursos próprios,OUTROS RECURSOS,57732.909999999996,2018
1002,ELIANA SABÁ,PRB,Recursos de Financiamento Coletivo,OUTROS RECURSOS,50.0,2018
1002,ELIANA SABÁ,PRB,Recursos de partido político,FUNDO ESPECIAL,50000.0,2018
1002,ELIANA SABÁ,PRB,Recursos de partido político,FUNDO PARTIDARIO,11501.9,2018
1002,ELIANA SABÁ,PRB,Recursos de pessoas físicas,OUTROS RECURSOS,130.85,2018
1003,EDILUZA MARIA DA SILVA DOS SANTOS,PRB,Recursos de partido político,FUNDO PARTIDARIO,15515.05,2018
1004,AFFONSO SALATI FILHO,PRB,Recursos de partido político,FUNDO PARTIDARIO,8579.75,2018
1004,AFFONSO SALATI FILHO,PRB,Recursos próprios,OUTROS RECURSOS,9946.0,2018
1005,VITOR AUGUSTO VILANUEVA GOMES,PRB,Recursos de partido político,FUNDO PARTIDARIO,13815.5,2018
1006,MICHEL DE LIMA CHAUSSE,PRB,Recursos de partido político,FUNDO PARTIDARIO,31858.2,2018
1007,WANDEMBERG MARQUES DA SILVA,PRB,Recursos de outros candidatos,FUNDO PARTIDARIO,1900.0,2018
1007,WANDEMBERG MARQUES DA SILVA,PRB,Recursos de partido político,FUNDO PARTIDARIO,24501.9,2018
1007,WANDEMBERG MARQUES DA SILVA,PRB,Recursos de pessoas físicas,OUTROS RECURSOS,10000.0,2018
1007,WANDEMBERG MARQUES DA SILVA,PRB,Recursos próprios,OUTROS RECURSOS,5000.0,2018
1008,EDSON COQUEIRO FILHO,PRB,Recursos de outros candidatos,OUTROS RECURSOS,5000.0,2018
1008,EDSON COQUEIRO FILHO,PRB,Recursos de partido político,FUNDO ESPECIAL,50000.0,2018
1008,EDSON COQUEIRO FILHO,PRB,Recursos de partido político,FUNDO PARTIDARIO,66826.45,2018
1008,EDSON COQUEIRO FILHO,PRB,Recursos próprios,OUTROS RECURSOS,26415.0,2018
1009,VAGNER CLEBER CHIAPETTI,PRB,Recursos de outros candidatos,OUTROS RECURSOS,200.0,2018
1009,VAGNER CLEBER CHIAPETTI,PRB,Recursos de partido político,FUNDO ESPECIAL,50000.0,2018
1009,VAGNER CLEBER CHIAPETTI,PRB,Recursos de partido político,FUNDO PARTIDARIO,150000.0,2018
